HOLE.ID,DISTANCE,AZIMUTH,DIP
BHWS_590_56S_W004,0,225.15,0
BHWS_590_56S_W005,0,224.12,0
BHWS_590_56S_W007,0,233.45,0
BHWS_590_56S_W008,0,230.24,0
BHWS_590_56S_W009,0,232.27,0
BHWS_590_56S_W010,0,224.53,0
BHWS_590_56S_W011,0,225.42,0
BHWS_590E_001,0,246.67,0
BHWS_590E_002,0,246.92,0
BHWS_590E_003,0,246.51,0
BHWS_590E_004,0,248.42,0
BHWS_590E_005,0,246.7,0
BHWS_590E_006,0,245.19,0
BHWS_590E_007,0,244.78,0
BHWS_590E_008,0,244.07,0
BHWS_590E_009,0,239.41,0
BHWS_590E_010,0,240.66,0
BHWS_590E_011,0,238.9,0
BHWS_590E_012,0,242.33,0
BHWS_590E_013,0,237.32,0
BHWS_590E_014,0,236.13,0
BHWS_590E_015,0,237.14,0
BHWS_590E_016,0,236.45,0
BHWS_590E_017,0,235.29,0
BHWS_590E_018,0,239.09,0
BHWS_590E_019,0,240.66,0
BHWS_590E_020,0,240.21,0
BHWS_590E_021,0,232.67,0
BHWS_590E_022,0,227.72,0
BHWS_590E_023,0,231.66,0
BHWS_590E_024,0,221.52,0
BHWS_590E_025,0,215.21,0
BHWS_590E_026,0,212.51,0
BHWS_590E_027,0,222.01,0
BHWS_590E_028,0,231.79,0
BHWS_590E_029,0,233.81,0
BHWS_590E_030,0,236.73,0
BHWS_590E_031,0,240.95,0
BHWS_590E_032,0,237.54,0
BHWS_590E_033,0,229.38,0
BHWS_590E_034,0,229.26,0
BHWS_590E_035,0,227.95,0
BHWS_590E_036,0,223.68,0
BHWS_590E_037,0,214.18,0
BHWS_590E_038,0,212.89,0
BHWS_590E_039,0,220.65,0
BHWS_590E_040,0,222.92,0
BHWS_590E_041,0,235.78,0
BHWS_590E_042,0,237.53,0
BHWS_590E_043,0,230.88,0
BHWS_590E_044,0,232.15,0
BHWS_630_E_001,0,47.81,0
BHWS_630_E_002,0,47.81,0
BHWS_630_E_003,0,15.92,0
BHWS_630_E_004,0,23.68,0
BHWS_630_E_005,0,32.13,0
BHWS_630_E_007,0,40.05,0
BHWS_630_W_001,0,53,0
BHWS_630_W_002,0,52.32,0
BHWS_630_W_003,0,37.76,0
BHWS_630_W_004,0,60.29,0
BHWS_630_W_005,0,53.07,0
BHWS_630_W_006,0,39.54,0
BHWS_630_W_007,0,60.17,0
BHWS_630_W_008,0,49.59,0
BHWS_630_W_009,0,49.59,0
BHWS_630_W_010,0,49.59,0
BHWS_630_W_011,0,45.67,0
BHWS_630_W_012,0,62.66,0
BHWS_630_W_013,0,55.66,0
BHWS_630_W_014,0,46.29,0
BHWS_630_W_015,0,51.19,0
BHWS_644_DXC_68S_E_001,0,51.58,0
BHWS_644_DXC_68S_E_002,0,41.52,0
BHWS_644_DXC_68S_E_003,0,37.64,0
BHWS_644_DXC_68S_E_004,0,37.38,0
BHWS_644_DXC_68S_E_005,0,40.06,0
BHWS_644_DXC_68S_E_006,0,41.19,0
BHWS_644_DXC_68S_E_007,0,50.58,0
BHWS_664_E_001,0,18.23,0
BHWS_664_E_002,0,12.94,0
